label,text,text_length
2.0,vị tướng tài_giỏi cao_ráo đẹp_trai nụ cười hiền_hậu vn có chất riêng,68
0.0,tấn cong và chiến_thắng nhủng mệt lăm các đồng chí_oi,53
1.0,vn và vn đánh giết_hại lẫn nhau thật là khủng_khiếp cả tgioi chỉ có một hbđl td tnhat đnuoc 5o năm nữa tky vậy mà dân vẫn còn đói_khổ trong khi nền kte tăng_trưởng vì cb tham_nhũng khắp_đn vn hốt về thu cất_giấu hưởng_thụ cho gđ làm_giàu ngồi mát_ăn bát vàng còn cựu_chiến_binh và dân_nghèo thì đói_nghèo muôn_thuở,314
3.0,34 09 rõ chút chắc thấy được body 6 múi luôn,44
3.0,bác tôi cũng đã ngã xuống ở khe_sanh hoà_bình hôm_nay thật đắt_giá máu và nước_mắt cả dân_tộc việt_nam_ta gác lại lịch_sử nhưng thề sẽ không bao_giờ quên,153
1.0,quân cộng hòa nhờ không_quân mỹ còn đánh gì,43
0.0,đường 9 khi đó nỗi tiếng nên sự hi_sinh vì dân_tộc không_thể tránh khỏi thật xót_xa khi thấy các bia mộ những cha_ông anh hùng già có trẻ có,140
2.0,tướng lê trọng tấn là một vị tướng tài thiên về tấn_công khi chủ_tịch phidel sang thăm việt_nam đã hết_lời khen_ngợi ông là một vị tướng tài tôi không phủ_nhận nhưng người_làm trang này viết rằng một_mình ông cân cả thái_lan mỹ lào là không phù_hợp tại_sao ư bao_nhiêu chiến_sỹ đồng_bào họ đã hy_sinh tính_mạng chiến_đấu thì sao hay một_mình ông uy dũng như tướng ở trong thủy_hử một_mình có_thể đánh tan quân_thù,413
1.0,phát_thanh_viên nói sai trầm_trọng mac na ma_na không phải mac na ma ra tên nguòi ông cũng đọc sai,98
3.0,trinhluong1563 bạn có biết tại_sao một_số người trung_quốc gọi khỉ việt_nam không rolling_on_the_floor_laughing,111
2.0,genneral giap là 1 viên tướng huyền_thoại của tg navarre có thua ông ấy thì cũng chẳng có gì mất_mặt vì trên đời có ai đánh được general giap đâu,145
1.0,ngày_xưa mà lúc chiến_tranh đó bắt được tên nào xử luôn không cần tù_binh,73
2.0,tranhoangtho9060 rất đúng quân_ta mà không có lý_tưởng cách_mạng vô đối thì không_thể đối_đầu_quân mỹ được nhưng rốt_cuộc bởi sự lì_lợm của quân cs cách đánh du_kích dai_dẳng lính mỹ chết rất nhiều mà họ không_thể lường trc được lý_do cộng với áp_lực quá lớn từ dư_luận mỹ và tg đã làm cho mỹ buộc phải rút quân từ đó mới mở ra cơ_hội thống_nhất khi chỉ còn phải đối_đầu với đội quân vnch tuy vẫn rất mạnh nhưng đây là đội quân không có lý_tưởng cách_mạng và ý_chí chính_trị rõ_ràng smiling_face_with_smiling_eyes,513
2.0,đó là quy_định là ccb đã tham_gia chiến_dịch điện_biên_phủ,58
1.0,lốp trẻ bây_giờ chỉ biết nhậu và hút_chích,42
0.0,thời bác le trọng tấn chết bao tri thời đó không như bây_giờ mà tôi thấy ngôi mộ của bác nhìn don so nằm,104
1.0,xuống hà_nội là bị vây hết đường về chủ_lực vn đã bố_trí đón đánh tạt sườn và bọc_hậu rồi,89
3.0,giọng đọc ok chuẩn rõ_ràng hồi đầu nghe chán kinh_khủng,55
3.0,tuyennguyen ro2mi không bới_móc quá_khứ thì con_cháu đời sau có hiểu được những mất_mát đau_thương thời_chiến ko vậy thì có môn lịch_sử để làm gì chứ,149
0.0,dự là mới đến bắc_giang thôi_thì đã không còn mống nào,54
2.0,một video quá hay giúp chúng_ta hiểu được chiến_dịch điện_biên_phủ vĩ_đại như thế_nào,85
1.0,chặt đầu cắm trên cầu crying_face trời ơi thương quá crying_face crying_face crying_face,88
3.0,bố tôi là đại_đội_trưởng quê ân_thi hưng_yên,44
4.0,xuasaigon4665 tích_cực bọn tao phê_duyệt vắc xin tq nhưng có dùng không bọn tao không làm được vắc xin tiêm cho trẻ nhỏ thì không có_nghĩa những cái khác bọn tao không làm được,176
4.0,trận này mọi người xem bên kênh jhgo hay hơn nhiều kênh này bình_luận hơi 1 chiều nên nghe không hay lắm,104
4.0,titibaoboi568 mỹ nó giỏi đó tại đệ bên này kém quá thôi,55
2.0,bác giáp và các chiến_sĩ thật tuyệt_vời cảm_ơn các vị anh_hùng dân_tộc đã giữ lại dáng hình việt_nam,100
1.0,giờ hết ba đời rồi chúng_nó đang máu chiến với vn lắm vietnam,61
1.0,tôi căm_thù mãi quân xâm_lược trung_quốc,40
3.0,trung anhthai4630 nhưng dân vn còn giàu_sang sướng hơn dân mẽo đấy,66
4.0,van_nguyen_dinh_dạ bị nghiện dọng đọc của hclc rồi ạ bác đức_thảo_e cug nghe hết rồi ạ,86
2.0,các cụ nhà mình đánh khiếp thật,31
2.0,ông giáp tuyệt_vời tự_hào quá việt_nam ơi,41
3.0,mình cúi đầu cảm_tạ công_lao mà ông ngoại bạn và những ông_bà chiến_sĩ đã chiến_đấu và hi_sinh chống giặc ngoại_xâm mang đến hòa bình cho vn ngày_nay,149
0.0,bố tôi tái_ngũ lần thứ hai vào khe sanh rồi bị_thương phải chuyển ra ngoài bắc để điều_trị bây_giờ thì ông đã không được xem_lại nữa rồi,136
2.0,lin xô tập_trận quy_mô lớn tại biên_giới hắt long_giang,55
2.0,chiến_thắng điện_biên_phủ cũng thanh_hoá góp ra bao xương_máu nhà_nhà mới làm_nên cách_mạng lòng yêu nước thượng_hạng công của dân thanh_hóa_góp 50 sức người sức của cho chiến_thắng điện_biên_phủ,195
3.0,kính_cẩn nghiêng_mình trước_cụ ạ bác mình thì tham_gia cuộc_chiến ở qt giờ chưa tìm được thi_hài ông ngoại mình thì cũng từng đi bộ_đội chân ông còn vết sẹo to do bị mảnh bom b52 va phải,186
0.0,không phai vua 9 10 voi tuong,29
4.0,bố mình là lính của 304 thời đó giờ ông là thương_binh thật biết_ơn cha_ông ta còn bác anh ruột của mẹ mình là liệt_sĩ đến giờ vẫn chưa tìm được hài_cốt cũng hy_sinh tai khe xanh crying_face,190
3.0,tư_tưởng của thằng mao_trạch đông là bành chướng nhưng không bao_giờ chiếm được việt_nam đâu grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat,267
1.0,mỹ vnch tìm diệt tìm_kiếm hoài không thấy viêt cộng khi thấy viêt cộng thì bị viêt cộng đánh muống chết đây mới là người việt_nam gan_lì chiến kỉ thuật và kỉ năng không cần vũ_khí tối tăng thế_giới phương tây không_thể có được,226
2.0,xuống xong cắt đường lui và hậu_cần từ dưới miền trung tây nguyên đánh lên muốn chiếm vn mà đi từ đường_biên_giới phía bắc quá sai_lầm nước vn theo chiều thẳng_đứng mà đánh thọc sườn từ miền trung thì may_ra nhưng miền trung có dãy trường sơn làm lá_chắn tự_nhiên rồi rất khó nhé địa_lý vn dễ thủ khó công mà nên bây giời tq chơi chiếm đảo đưa quân từ biển vào,360
2.0,hakikoruma3737 đám không chính_danh sống bám lý_tưởng cao nhất là làm_sao có được nhiều viện_trợ quân tướng đấy thì đánh_đấm gì có đánh nữa thì cũng thua thôi thực_tế đã thể_hiện vậy xạo chỗ nào,194
1.0,chúc bác nhìu sức_khỏe tích_cực,31
3.0,trung_đoàn 852 cách nhà mình 2km,32
4.0,giờ cũng vậy_mà chưa sinh_viên đã nhập_ngũ rồi,46
2.0,hãy nhớ rằng nếu mỹ dùng vũ_khí hạt_nhân ở việt_nam thì tên_lửa của liên_xô sẽ bắn thẳng vào nước mỹ và chiến_tranh thế_giới thứ ba sẽ nổ ra chỉ khi mỹ muốn dân mình chết hết và liên_xô cũng vậy thì mới dùng và lại thêm sự phản_đối của cả thế_giới thì không ai giám đứng về phía mỹ như trước dùng b52 ném bom miền bắc đã bị lên_án rồi mà còn dùng vũ_khí hạt_nhân thì chẳng ai dám chơi cùng đâu,393
1.0,bạn thật may_mắn có người ông là chiến_binh chống pháp,54
3.0,quân_đội thái chỉ là lính kiểng hù dọa dân của chúng chứ ra chiến_trường nhát hơn thỏ,85
2.0,tôi hồi đó đánh trận làng vây tôi binh chủngbđq tiểu_đoàn 15 đánh_bại cs bắc việt bọn nó bỏ chạy xát chết nằm la_liệt bị pháo của vnch tôi nay u85 rồi tổ_quốc danh_dự trách_nhiệm,178
2.0,bác mình nói lúc đó 2 sư_đoàn chủ_lực quân_đoàn 2 vừa ở tây nam về tới bắc giang chưa kịp đánh,94
4.0,bây_giờ cuộc_chiến_xa rồi đều là người việt chúc cha bạn có cuộc_sống an bình hạnh_phúc bên con_cháu nhé,104
4.0,huubinhle5584 nó p folded_hands folded_hands folded_hands,57
3.0,điện_biên_phủ thời chống mỹ_cảm_ơn các anh_hùng liệt_sĩ quân_đội nhân_dân việt_nam,82
3.0,trong chiến_dịch này đảng_ta đã phải hy_sinh ít_nhất 50 ngàn bộ_đội vị thành_niên tất_cả các binh_trạm bệnh_xá dã_chiến kho đạn kho lương_thực của ta đều bị thiêu_huỷ ngoài_ra còn có một_số đồng_chí cấp tướng của bậc thầy tr_quốc cũng mất xác về tay nguỵ đó là một mất_mát lớn_lao cho đảng_ta và đồng_chí tq,307
4.0,khoahaang6281 công_dân việt_nam chính_hiệu bạn ơi,49
3.0,đáng tiếc cho cả 1 thế_hệ sinh_viên là những nhân_tài tương_lai của đất_nước để bị ra chiến_trường để rồi chết quá_đáng tiếc,124
4.0,có mấy bác trong đây về trường mình để giao_lưu về chiến_tranh quảng_định nek,77
