"Fixed_Comment","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"Xem và cảm_thấy thương cha_ông biết_bao",3,"1","2024-12-09T13:56:37.253100Z",1,4.949,"Thankful","2024-12-09T13:56:37.254100Z"
"Cái giá của hoà_bình cao quá các bác ơi",4,"1","2024-12-09T14:01:04.432787Z",2,12.627,"Sad","2024-12-09T14:01:04.432787Z"
"Tôi vào trận cùng quân_đoàn 2 năm 72 mùa hè đỏ lữa chúng_tôi giữ thành cổ hết mấy bữa sau mấy bữa thì đơn_vị tôi hy_sinh chỉ còn lại có 5 người buộc rút xuống đông hà hàng ngày phải hứng hàng trăm quả bom và hàng ngàn quả đại_bác chưa kể những đợt xung_phong của ngụy_quân sau năm 72 chúng_tôi tham_gia cánh quân duyên_hải đánh dọc duyên_hải miền trung vào giải_phóng đông xài gòn năm 75",5,"1","2024-12-09T14:01:30.437763Z",3,13.818,"Proud","2024-12-09T14:01:30.437763Z"
"Đại_tướng Võ_Nguyên Giáp đánh trận Điện_Biên_Phủ trên đất Điện_Biên_Phủ trên không cuối_cùng Điện_Biên_Phủ trên giường face_with_tears_of_joy",6,"1","2024-12-09T14:01:39.688078Z",4,7.87,"Thankful","2024-12-09T14:01:39.688078Z"
"Trong Chiến_Dịch này Đảng_Ta đã phải hy_sinh ít_nhất 50 ngàn bộ_đội VỊ THÀNH_NIÊN Tất_cả các binh_trạm bệnh_xá dã_chiến kho đạn kho lương_thực của ta đều bị thiêu_huỷ Ngoài_ra còn có một_số Đồng_Chí cấp Tướng của bậc thầy Tr_Quốc cũng mất xác về tay Nguỵ Đó là một mất_mát lớn_lao cho Đảng_Ta và Đồng_Chí TQ",7,"1","2024-12-09T14:01:48.631746Z",5,7.704,"Thankful","2024-12-09T14:01:48.631746Z"
"Add làm thêm về các học_thuật chiến_thuật quân_sự của Việt_Nam đi",8,"1","2024-12-09T14:01:54.181640Z",6,4.263,"Neutral","2024-12-09T14:01:54.181640Z"
"CS MIỀN BẮC ĐÓI_NGHÈO NÊN XƯA QUÂN ĐÁNH CHIẾM MIỀN NAM VÀ CƯỚP HẾT VÀNG TÀI SÃN CŨA TOÀN MIỀN NAM ĐEM VỀ BẮC MỴ DÂN NÓI LÀ GIÃI PHÓNG CSVN HAY GIÕI CÁI GÌ CŨNG ĐI XIN THẾ_GIỚI MỸ GIỜ NGUYỄN XUÂN PHÚC XIN MỸ HỖ_TRỢ VACX",9,"1","2024-12-09T14:02:07.207852Z",7,7.586,"Angry","2024-12-09T14:02:07.207852Z"
"Trung_Quốc với liên xô thời đó đang có chiến_tranh_lạnh ngay từ khi bắt_đầu tập_kích đánh toàn bien giới VN thì ở phía liên xô mông cổ hàng nghìn lính Hồng_quân Liên_xô đã nhảy_dù dọc biên_giới mông cổ và trung quốc một phần cũng gây hoang_mang nội_bộ trung_quốc đã giúp bộ_đội chủ_lực VN rút một nửa quân_đoàn từ Campuchia về để tác_chiến với trung_quốc",10,"1","2024-12-09T14:02:16.904829Z",8,8.493,"Neutral","2024-12-09T14:02:16.904829Z"
"Bạch_Khởi của VN trận này quân Thái nghe tin tướng Tấn trực_tiếp chỉ_huy là tụi nó run như cầy rồi",11,"1","2024-12-09T14:02:25.337730Z",9,7.226,"Neutral","2024-12-09T14:02:25.337730Z"
"stevenvan8703 cho tao xin cái địa_chỉ check xem phét không Chắc_úy với tá thời vnch hả",12,"1","2024-12-09T14:02:31.208455Z",10,4.862,"Angry","2024-12-09T14:02:31.209271Z"
